text,sentiment
It is potentially an interesting paper presenting  which is the result of large collaborative work ,positive
However  at the present state it fails to communicate the importance of this work and some aspects of the presentation might be improved ,negative
So  for me  this is going toward a rejection ,negative
Overall  my main doubt is the fact that the vocabulary status is still draft (first public working draft)  and it is not clear how far is the ontology from its final form as this is not clearly explained in the paper ,negative
In terms of design  it would be much better if a clear list of competency questions of the ontology is provided ,negative
The Motivation section mentions a few examples of things that one would want to know about a profile  but it is not clear if those comprise an exhaustive list or actually  only part of them are dealt with by the ontology ,negative
I am putting a borderline score due to this ,negative
This is indeed an important gap that needs to be addressed in particular in the light of appearances of multiple  different vocabularies for profiles ,positive
The ontology would certainly be of interest to Semantic Web community ,positive
Thus  there is a clear potential of being used ,positive
There is no tutorial provided beyond a few examples in the documentation ,negative
There might be more examples in the related GitHub repo  but this is not clearly stated ,negative
The model is relatively simple  and extending it seems to be relatively not difficult ,positive
Specifically for the notion  extension possibility is explicitly provided ,positive
Limitation of the ontology is not mentioned in the submission ,negative
The paper only mentions complementary usage with other vocabularies that also describe specifications ,negative
What is not entirely clear to me is the usage of the property is-inherited-from ,negative
How does this work exactly?,negative
What does it mean?,negative
There is no example clarifying this ,negative
The ontology is publicly available at a persistent URI ,positive
Licensing information is also provided ,positive
Human-readable description is provided  which also includes a schema diagram ,positive
Machine-readable description seems to be only available at the Github page  but this is rather hard to find ,negative
I don't think it's fair to ask reviewers to review what is essentially a list of promises of things that may or may not be implemented in a future paper ,negative
Also  I am quite concerned that the authors have misinterpreted what I think was a fairly clear review on my part  they attribute the following concerns/criticisms to me or my review  which I am quite certain have not been expressed by my review ,negative
In light of this response and the concerns brought forward by the other reviewers  I will unfortunately have to reduce my scoring for this paper ,negative
That being said  the authors reference good arguments for this approach to modeling and the ontology the present makes sense in such a modeling context ,positive
While I have some comments and suggestions on the design of the ontology and the way in which it is presented in this paper (see below)  my overall impression is that this work  in spite of some weaknesses  displays sufficient quality to be in the running for presentation at ESWC ,positive
Comments/considerations on the paper itself) Abstract I find the meaning of the phrasing unclear ,negative
In those places I would prefer if a (brief)summary of the key points of the referred work were included in this paper also --so that this paper would be more self-contained ,negative
) The first listing under Section  is somewhat sloppy in the textual definition,negative
This phrasing implies a cardinality restriction of + which is inconsistent with cardinality restriction of  on the subclass,negative
Note that this is a human language issue in the listing in the paper  the ontology does not include such an inconsistency ,negative
The URI for the ontology as given in the paper produces a  ,negative
I find that in both utilization and documentation/visualization it helps if one asserts these properties (as far as is possible/reasonable) and would suggest the authors consider doing so ,negative
The term Resource Descriptor is rather vague and ambiguous ,negative
Lacking data profile domain expertise  I would expect a resource descriptor to be  essentially  any description of an RDF resource  not necessarily something particular or inherent to the problem space ,negative
Also  I am somewhat confused by the skosdefinition of this concept  as a resource that _defines_ an aspect of a profile -- isn't it more correct to say that the resource descriptor _describes_ an aspect of a profile (particularly if the role of the descriptor is Guidance,negative
Stylistic comments A) Figures     and  in printed form there is hardly any visible difference between the white and gray boxes ,negative
I recommend that a darker shade of gray be used ,negative
B) The  namespace URI in Section  would look nicer if it were styled inmonospace font ,negative
C) In the Turtle example that closes Section    the ex prefix is undefined ,negative
In particular the property definitions do not add so much value  and could be communicated just through the figures used  and/or with reference to the full ontology documentation ,negative
E) Figure  the range of the has role property is incorrect  (it is skosConceptin the published ontology) ,negative
I think they have done a thorough job answering most of my concerns ,positive
The problem is that I think the list of changes require a significant rewrite  and I am not comfortable changing my score without reviewing the final version ,negative
Therefore I still think the paper is not ready to be accepted at ESWC ,negative
The paper reads well and it is easy to follow ,positive
I find it relevant to the community and the community  and I look forward to seeing more examples on the automatic profile negotiation described by the authors ,positive
However  I do not think the paper currently meets the quality required to be accepted at ESWC ,negative
I list the main points of improvement below- The paper does not propose a new contribution  as it summarizes an existing working draft publication ,negative
The authors claim to have submitted the paper to raise awareness and gather feedback from the community  but I think that proposing a tutorial at the conference or writing a primer document for the vocabulary draft may be more appropriate means to reach out to the community ,negative
As the paper is  I consider it an unfinished vocabulary  and I do not think it would be fair for other vocabulary submissions to treat this effort differently just because it is an ongoing WC recommendation ,negative
- The vocabulary proposed is not complete ,negative
I would have expected this kind of specification to be supported by strong real use cases and examples ,negative
- The ability to negotiate profiles is one of the most interesting aspects of the paper  but the publication never addresses how it would be done  or include examples ,negative
- There is no vocabulary development methodology in the paper ,negative
Similarly  there is no proper validation of the proposed vocabulary  except for the illustrative examples ,negative
Comments related to the ontology in particular- I am unclear on where would the profile information/metadata be stored ,negative
(difficult to maintain if new profiles are constantly produced) Since the URLs provided in the paper do not resolve (e g   using ex namespace)  this remains unanswered to me ,negative
I am happy to see that the authors registered the ontology in LOV and submitted the pattern into the Ontology Design Patterns catalogue upon request from the review ,positive
I understand that there were already references about some of those use cases but the paper should be self-contained to a certain degree ,negative
The domain of network infrastructure is quite complex one and there is no solution which would target at any type of a network ,positive
The paper should be improved with regard to the presentation aspect since the title of Section   is named as but this autonomic feature was not introduced before and it should be explained in the Section  Introduction ,negative
Further  the ontology is first described using modules view but then there is introduced perspectives (before Section  ) which seems to be rather redundant ,negative
Sticking with the module notion and omitting the another notion (perspective) would make the description clearer and allow to save some space  i e   by removing the part about perspectives before Section   and renaming Section   to Ontology modules ,negative
It would be better to explain this sooner than at the end of Section   ,negative
I found these use cases very important for showing  in usage ,positive
The ontology is not very expressive ,negative
There are no complete or partial class definition ,negative
There are many incomplete references and corrupted reference,negative
The authors present the details of the ontology and pattern used in its development  and include examples and use cases ,positive
Though the paper is generally well written  the presentation suffers from quite a few small errors and typos ,negative
As a strength  the ontology presented is a significant advancement over the state of the art  ,positive
However  in does not include a justification regarding why RDF Schema is not enough  i e ,negative
The paper includes many references to related work papers ,positive
It is true that several general vocabularies are reused for some parts (foaf  location  data)  but it is not clear whether the authors have explored telecommunication network specific ontologies as well ,negative
Section   is not very valuable in this paper  in my opinion ,negative
The examples provided in the external links (GitHub) are very small (they do not even cover the simple scenario of Fig ,negative
The ontology has been used in several projects  which is a good point ,positive
However  it is not clear Conclusions should include future works ,negative
Year is missing in several references ,negative
English must be revised  ,negative
The authors then propose a set of requirements to guide the construction of the ontology which is clear ,positive
I would only suggest connecting the requirements with their realization in the next session ,negative
In the use case section  I would have expected a set of validation SPARQL queries over possible evaluation scenarios ,negative
I think the authors have answered correctly to all the raised issues by the reviewers ,positive
However  I see that there is still space for improvement which I am not sure the authors can address all of them in the camera ready ,negative
The newly added material need to be revised again ,negative
The evaluation of the method is extensive and well done ,positive
The evaluation results are encouraging  showing a large increase of dictionary terms as compared with fully automated dictionary generation methods ,positive
Nevertheless  some points of the methodology are unclear  and should be explained in the camera-ready version* What is the impact of the corpus size?,negative
 is too small to read ,negative
The evaluation results in terms of performance and average term length appear to be sound (even though perhaps a stronger baseline than WV could have been chosen) ,positive
However  there is one big weakness that I would highlight I don't see where and how the human comes in the loop ,negative
But it is not explained at all who the humans are should this be done by experts  or do the authors envisage some sort of crowdsourcing (if the latter  what would be the recruiting and payment policies)  or does this depend on the exact domain of the dictionary?,negative
Furthermore  no details at all are given on the exact task that the human-in-the-loop is expected to perform ,negative
It is a pity that the authors seem not to provide sufficient detail on the human-in-the-loop  which throughout the paper is stated to be one of the main contributions of this paper ,negative
The paper presents a novel approach for dictionary expansion with an explore & exploit approach with human in the loop ,positive
The paper is interesting and generally quite clear and readable also for non-experts (with some exception as discussed below) and relevant for at least a part of the ESWC audience ,positive
The structure of the paper is good  the related work is well discussed  the evaluation quite diversified to touch different aspects ,positive
The potential impact of the proposed approach is definitely large and relevant ,positive
The two main limitation I see in the paper are the partially unclear/incomplete description of the global approach/process (at a high level) and some missing bits in the discussion/commenting of the experimental results ,negative
Nonetheless  I think the paper is worth accepting  especially because the authors can easily improve the paper by addressing the comments ,positive
In section   I found the explanation of the two steps (explore and exploit) quite clear and even understandable for a non-expert reader  maybe something more could be said to justify equations  and  (are there any alternative options? ,positive
The part I think would need a better and broader explanation is the initial introductory text to Section   where the global approach is presented the brief text does not explain if the outputs of the explore phase are the inputs to the exploit phase  nor it clarifies when and how the human-in-the-loop intervenes  figure  is quite obscure in this regards and  in its current form  it is quite useless ,negative
I'd recommend a more process-oriented explanation  maybe by means of a schematic workflow (or data flow diagram)  explaining the relation between the steps  the iterations  etc ,negative
As a consequence  also the actual evaluation protocol in section  is not always crystal clear and would definitely benefit from a more detailed description ,negative
It is not well explained how the adjudication is performed for the ADE dataset  the authors refer to a medical doctor (only one?,negative
Moreover  the author do not define what they mean by accuracy in table  is it the % of accepted candidates?,negative
The comparison with a fully automated terminology extraction method is very interesting (maybe worth a separate sub-section on its own),positive
I understand that this is partially a comparison of apples and oranges  but some interpretation would help ,negative
On the other hand  I would expect some kind of recommendation about the ideal or at least the recommendable interval size  given that a more frequent intervention of humans comes also at a higher cost  so  is there a trade-off?,negative
Finally  also the future proof evaluation is pretty interesting and shows quite well the potential impact of the proposed approach ,positive
The submitted version was very unclear  since none of the three reviewers understood that people were involved at all times  like the rebuttal text suggests ,negative
To be a paper about humans-in-the-loop  it should be clear about the role of humans   The paper proposes an approach to categorize short text messages according to predefined taxonomies ,negative
The paper reads well and the overall approach is interesting and well explained ,positive
I like the idea of embedding structured knowledge in higher level NLP tasks  particularly for categorization as per this case ,positive
Unfortunately  this type of approaches are not among the evaluation baselines ,negative
The approach is interesting ,positive
However  the paper does not delve into the trade off that the authors take with their choice  namely that we are replacing a dependency on the existence of a training corpus with that of a well structured knowledge base  which is expected to provide the necessary coverage of the domain for the task in hand ,negative
Another caveat is that possibly entities are not the only information unit that could be leveraged in order to address the problem ,negative
Language style and topic variance could also have an impact and although the focus of the paper be on entities it would have been good to show awareness on this ,negative
Finally  I would have expected to see the application of the algorithm on several knowledge bases  not only Wikipedia (or Dbpedia)  and also in a variety of domains ,negative
I think this is an interesting research work for the community  and therefore can bring attention by other people in the community since many task dealing with short text classification can benefit from it ,positive
It brings more variety to a field where most of the approaches are highly based on exploiting huge amounts of annotated data ,positive
The main weakness I see is the not-so-representative selection of supervised candidates to compare with (missing some state of the art approaches in the field now) ,negative
Other details that may need a bit of clarification or improvement are- During the motivation / beginning of the section describing approach  I miss a bit of the intuition behind using entities as anchors to perform this task ,negative
- I am not sure that the last part of the results (experiment in section  ) can help us drawing any relevant conclusion ,negative
The strengths of this paper are listed below  it is an unsupervised short text categorization model which does not require labels   it solves the data sparsity issue for short text categorization since most text classification models are based on rather long texts ,positive
Several evaluations have been done to inspect different components of the proposed model like entity linking method  the embedding model  and the overall short text classification model ,positive
The weaknesses of this paper are listed below  the major weaknesses is that KBSTC only uses recognized entities to do short text classification but ignore other words which will have a huge impact on the model performance ,negative
The baselines used in this paper are rather weak and easy outperformed baselines ,negative
SVM  NB  and Logistic regression plus TF-IDF are very basic baseline ,negative
What's more  even for these weak baselines  KBSTC fails to outperform many of them ,negative
The authors may think that it is reasonable that an unsupervised model can be outperformed by these supervised models ,negative
I am confused with the explanation to derive Equ ,negative
Besides  the authors make many assumptions in Equ ,negative
However  I have to point out a couple of issues for this work below ,negative
However  the issue of lacking enough context for the short text classification problem is a well-known issue in the text mining field ,negative
So the claim of authors to only rely on entities but not words is not persuasive enough ,negative
PTE cannot deal with the entity and category structure ,negative
I don't get the authors' point about why they cannot use PTE as one of the baselines ,negative
The major issue of this paper is that the presented method does not show enough delta compared to previous work ,negative
In general  the approach is interesting and appears to build upon previous work ,positive
Although the results appear to improve against other unsupervised methods  the authors did not investigate simpler non-supervised techniques as their baselines (e g   simply matching entities between categories and extracted entities) and only compared their approach to non-semantic approaches such as  WordVec ,negative
The paper is generally well written and easy to follow (minus the squashed paragraphs and sub-sections),positive
Even though the estimation approach for identifying the most suitable category for a given text is sound ,positive
The probability formulation of the estimation seems odd and under justified empirically in particular when embedding cosine similarity is used as a proxy measure of how likely a category is observed given a context ,negative
Finally  some details about the method used for extracting entity mentions are missing ,negative
This makes replicating the approach difficult ,negative
The authors only cite an old reference from  (e g   [  ]) ,negative
The different subsections are squashed ,negative
Although it is clear that given entities are associated with the corresponding anchor texts from Wikipedia it is not clear how the matches are performed ,negative
- The calculation of P(c|e) using the similarity of the embedding is simply based on a similarity metrics rather than actual probabilities (how similar are c and e rather than how likely it is to observe c given e) ,negative
- The authors do not evaluate basic entity-based methods such as simply maximizing the entity overlap between Wikipedia categories and text entities (without using embeddings) ,negative
The main remaining issue is that the authors are still not considering using textual and semantic features together (they only provided evidence when using only the average textual embedding representation of documents) ,negative
This additional baseline is useful and shows how the proposed method improves against it ,positive
Some desirable properties for such a translation are also defined ,positive
Unfortunately  the paper is yet rather immature  and falls short of the ambitious  valid and interesting goals set forward in the introduction  in the sense that no actual algorithm for a mapping translation appears  no correctness proofs or other indication that it works correctly are provided  there is no evaluation  and some of the formalities are rather sloppy ,negative
Despite the paper's shortcomings  I encourage the authors to continue working on this topic  as it seems a promising research direction with interesting applications ,positive
Definition  is formally sloppy ,negative
Moreover  the requirement on \sigma is too weak ,negative
Additional properties on \sigma should be required (injective?) ,negative
Some details are needed on the translation  its semantics  and its correctness ,negative
The authors only present a couple of specific translation examples  but this has no value other than showing that the concept of mapping translation is  in principle  feasible ,negative
After reading the paper  I still have no clue on how to translate some arbitrary given mapping ,negative
Also  other important information is missing  such as a formal explanation or proof that the translation algorithm works correctly,negative
Other minor comments and typos- multiple tools has- Table  some clarifications are needed ,negative
It is not clear what the rows refer to ,negative
In addition to the shortcoming mentioned above  the few conceptual notions that are introduced are not developed or investigated The theoretical framework is non-existent General properties about what is achieved are missing The introduction does not properly convey the problems or contributions  and example already there would help ,negative
The claims at the bottom of page  and beginning of page  are fuzzy  and the notions mentioned there are not properly explored Selling this as OBDA does not seem right  the problems considered here  are much more narrow than that  definitely the work is oversold Maybe the material has potential if more broadly and more deeply developped,negative
However  as it is it looks quite ad hoc and limited ,negative
I can see that some people may have some interest in this kind of very practical work ,positive
The overall idea is interesting and can leads to some useful tools to bridge language differences or reduce development effort ,positive
However  I found the complete rationale and motivation in the paper very hard to grasp ,negative
The two scenarios seem disconnected  which make it hard to determine what the actual focus or contribution of the paper is (is it a templating language?,negative
There is also too little detail on some important parts - the mapping translation how do these look like  what can they be used for  what problems do they solve  in what language do you write those  how do you execute that and how complex can it get?,negative
The definition is sound,positive
I believe the authors might have a valid motivation  but fail to illustrate it with what is written down ,negative
Unfortunately  this discussion turns out confusing and is quite dominant in the paper ,negative
This makes the enumeration of technologies in the first paragraph quite unclear ,negative
